,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Predicted Price
1205,Jet Airways,9/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,18:00,8h 25m,1 stop,No info,18103.0
1206,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,08:15 16 May,11h 5m,1 stop,In-flight meal not included,15422.0
1207,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,20:45 02 Apr,24h 45m,1 stop,No info,20933.0
1208,Vistara,15/06/2019,Banglore,Delhi,BLR → DEL,19:30,22:15,2h 45m,non-stop,No info,27417.0
1209,Jet Airways,15/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,18:20,19:00 16 Jun,24h 40m,2 stops,No info,18715.0
1210,IndiGo,24/04/2019,Banglore,Delhi,BLR → DEL,07:10,10:05,2h 55m,non-stop,No info,27645.0
1211,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,23:35,7h 5m,1 stop,In-flight meal not included,18477.0
1212,Air India,18/05/2019,Mumbai,Hyderabad,BOM → HYD,19:30,20:45,1h 15m,non-stop,No info,26674.0
1213,Vistara,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,23:25 16 May,27h 5m,1 stop,No info,15240.0
1214,Jet Airways,6/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,19:00,13h 30m,2 stops,No info,20804.0
1215,Jet Airways,1/04/2019,Delhi,Cochin,DEL → BOM → COK,17:30,19:00 02 Apr,25h 30m,1 stop,In-flight meal not included,15001.0
1216,Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,01:30 25 Jun,15h 30m,1 stop,No info,9855.0
1217,IndiGo,9/05/2019,Kolkata,Banglore,CCU → BBI → BLR,19:35,23:15,3h 40m,1 stop,No info,29051.0
1218,IndiGo,6/03/2019,Delhi,Cochin,DEL → BOM → COK,06:40,15:30,8h 50m,1 stop,No info,21153.0
1219,Multiple carriers,9/05/2019,Delhi,Cochin,DEL → HYD → COK,07:10,22:30,15h 20m,1 stop,No info,16516.0
1220,Air India,27/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:15,9h 15m,1 stop,No info,15815.0
1221,IndiGo,15/05/2019,Delhi,Cochin,DEL → HYD → COK,08:35,22:30,13h 55m,1 stop,No info,16483.0
1222,SpiceJet,27/04/2019,Kolkata,Banglore,CCU → BLR,14:55,17:25,2h 30m,non-stop,No info,27627.0
1223,Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1 stop,No info,15999.0
1224,Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12h,1 stop,No info,16572.0
1225,Air India,6/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,19:40,09:10 07 Mar,13h 30m,1 stop,No info,21691.0
1226,Vistara,3/04/2019,Banglore,Delhi,BLR → DEL,21:00,23:50,2h 50m,non-stop,No info,27872.0
1227,Multiple carriers,9/06/2019,Delhi,Cochin,DEL → BOM → COK,08:00,21:00,13h,1 stop,No info,16802.0
1228,Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,21:00,11h,1 stop,No info,16542.0
1229,Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,11:40,18:50,7h 10m,1 stop,No info,24537.0
1230,Vistara,6/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,15:40,19:55 07 Mar,28h 15m,1 stop,No info,21239.0
1231,Jet Airways,3/03/2019,Delhi,Cochin,DEL → BOM → COK,13:00,18:50,5h 50m,1 stop,No info,26181.0
1232,SpiceJet,1/06/2019,Kolkata,Banglore,CCU → BLR,14:55,17:25,2h 30m,non-stop,No info,27350.0
1233,Jet Airways,6/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 07 Jun,22h 55m,2 stops,No info,16223.0
1234,Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,15:05,01:35 07 Mar,10h 30m,1 stop,In-flight meal not included,13452.0
1235,Multiple carriers,9/04/2019,Delhi,Cochin,DEL → BOM → COK,07:30,19:00,11h 30m,1 stop,No info,16608.0
1236,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,04:40 13 Jun,20h 15m,1 stop,No info,20749.0
1237,Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,04:25 02 Jun,15h 25m,1 stop,No info,16777.0
1238,Air India,6/06/2019,Delhi,Cochin,DEL → BLR → COK,17:40,23:00,5h 20m,1 stop,No info,26914.0
1239,Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,01:30 13 Jun,8h,1 stop,No info,12192.0
1240,IndiGo,24/03/2019,Kolkata,Banglore,CCU → BLR,21:25,00:05 25 Mar,2h 40m,non-stop,No info,27327.0
1241,Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,20:40,14h 10m,1 stop,In-flight meal not included,17563.0
1242,Vistara,15/03/2019,Banglore,New Delhi,BLR → DEL,11:30,14:10,2h 40m,non-stop,No info,5437.0
1243,Air India,1/06/2019,Delhi,Cochin,DEL → HYD → MAA → COK,07:05,09:25 02 Jun,26h 20m,2 stops,No info,21139.0
1244,IndiGo,1/03/2019,Chennai,Kolkata,MAA → CCU,22:05,00:25 02 Mar,2h 20m,non-stop,No info,28519.0
1245,Air India,18/05/2019,Delhi,Cochin,DEL → BLR → COK,06:10,23:00,16h 50m,1 stop,No info,16130.0
1246,Air India,24/06/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:15,11h 15m,1 stop,No info,15853.0
1247,SpiceJet,9/05/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 10 May,2h 20m,non-stop,No check-in baggage included,27324.0
1248,IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,01:30,04:15,2h 45m,non-stop,No info,5049.0
1249,IndiGo,6/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,01:30 07 May,9h 30m,1 stop,No info,11737.0
1250,Air India,12/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15 13 Jun,26h 35m,2 stops,No info,18892.0
1251,Air India,15/05/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,21:50,9h 50m,2 stops,No info,18587.0
1252,Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,01:30 16 Jun,8h,1 stop,No info,12203.0
1253,Jet Airways,3/06/2019,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,No info,28924.0
1254,Air India,21/05/2019,Delhi,Cochin,DEL → JDH → BOM → COK,12:55,19:15 22 May,30h 20m,2 stops,No info,18979.0
1255,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,19:00,01:35 28 Mar,6h 35m,1 stop,No info,12841.0
1256,Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,15:00,19:00 22 May,28h,1 stop,In-flight meal not included,15507.0
1257,Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,19:15,6h 15m,1 stop,No info,19039.0
1258,Air India,24/05/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,27238.0
1259,IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,20:25,01:30 16 May,5h 5m,1 stop,No info,26660.0
1260,Air India,15/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,07:40 16 Jun,18h 40m,1 stop,No info,17089.0
1261,Air India,9/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:45,19:15 10 Mar,23h 30m,2 stops,No info,16681.0
1262,Air India,15/05/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,17:30,13:45 16 May,20h 15m,2 stops,No info,17360.0
1263,Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,21:50,19:00 13 Jun,21h 10m,1 stop,In-flight meal not included,15782.0
1264,Jet Airways,9/04/2019,Banglore,Delhi,BLR → DEL,17:45,20:45,3h,non-stop,No info,28504.0
1265,Jet Airways,1/03/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,non-stop,No info,27021.0
1266,Jet Airways,18/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 19 May,19h 55m,2 stops,No info,18428.0
1267,Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,04:40 19 May,12h 10m,1 stop,In-flight meal not included,18734.0
1268,Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,21:00,9h 30m,1 stop,No info,16479.0
1269,Jet Airways,9/06/2019,Delhi,Cochin,DEL → BOM → COK,02:15,19:00,16h 45m,1 stop,No info,16275.0
1270,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15 02 May,13h 20m,1 stop,No info,20952.0
1271,Air India,3/03/2019,Delhi,Cochin,DEL → NAG → BOM → COK,05:55,19:15 04 Mar,37h 20m,2 stops,No info,24315.0
1272,Jet Airways,9/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,12:35 10 Jun,26h 35m,1 stop,In-flight meal not included,16105.0
1273,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1 stop,No info,16008.0
1274,IndiGo,15/06/2019,Delhi,Cochin,DEL → BOM → COK,15:00,01:30 16 Jun,10h 30m,1 stop,No info,9741.0
1275,Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,19:45,12:35 13 Jun,16h 50m,1 stop,In-flight meal not included,15517.0
1276,IndiGo,3/03/2019,Delhi,Cochin,DEL → HYD → COK,14:20,22:20,8h,1 stop,No info,20181.0
1277,Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,15:00,18:50 22 Mar,27h 50m,1 stop,In-flight meal not included,17792.0
1278,Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,16:10,8h 10m,1 stop,In-flight meal not included,11804.0
1279,Air India,09/03/2019,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,23:55 13 Mar,39h 5m,2 stops,No info,13729.0
1280,Jet Airways,18/06/2019,Banglore,Delhi,BLR → DEL,17:45,20:45,3h,non-stop,In-flight meal not included,28903.0
1281,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,10:05 02 May,20h,1 stop,In-flight meal not included,20973.0
1282,GoAir,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,23:30,07:45 02 Apr,8h 15m,1 stop,No info,19097.0
1283,IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,28018.0
1284,Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,07:00,21:00,14h,1 stop,No info,16708.0
1285,IndiGo,9/06/2019,Delhi,Cochin,DEL → BOM → COK,07:30,21:00,13h 30m,1 stop,No info,16753.0
1286,SpiceJet,27/06/2019,Banglore,Delhi,BLR → DEL,09:30,12:20,2h 50m,non-stop,No info,27360.0
1287,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,20:35,20:20 07 Mar,23h 45m,1 stop,No info,12879.0
1288,Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,21:50,04:25 10 May,6h 35m,1 stop,In-flight meal not included,18807.0
1289,SpiceJet,03/03/2019,Banglore,New Delhi,BLR → DEL,05:45,08:35,2h 50m,non-stop,No info,4384.0
1290,Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,06:00,19:00,13h,1 stop,No info,16814.0
1291,SpiceJet,27/05/2019,Mumbai,Hyderabad,BOM → HYD,05:45,07:15,1h 30m,non-stop,No check-in baggage included,25769.0
1292,Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,09:00,04:25 22 May,19h 25m,1 stop,In-flight meal not included,17030.0
1293,Jet Airways,24/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 25 Jun,22h 55m,2 stops,In-flight meal not included,16044.0
1294,Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,20:55,04:25 02 Jun,7h 30m,1 stop,No info,17017.0
1295,IndiGo,6/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,01:30 07 Jun,8h,1 stop,No info,12021.0
1296,Air India,3/03/2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,28227.0
1297,Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,20:55,04:25 25 Jun,7h 30m,1 stop,No info,17192.0
1298,Air India,3/04/2019,Delhi,Cochin,DEL → COK,05:10,08:00,2h 50m,non-stop,No info,26920.0
1299,Vistara,09/03/2019,Banglore,New Delhi,BLR → AMD → DEL,06:40,12:35,5h 55m,1 stop,No info,13267.0
1300,IndiGo,3/04/2019,Mumbai,Hyderabad,BOM → HYD,21:20,22:50,1h 30m,non-stop,No info,26813.0
1301,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,09:20 16 May,13h 20m,1 stop,No info,15279.0
1302,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,16:20 07 May,23h 50m,1 stop,In-flight meal not included,16602.0
1303,Air India,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:00,23:15,16h 15m,1 stop,No info,17447.0
1304,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,21:00,7h,1 stop,No info,19128.0
1305,Jet Airways,21/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25 22 May,18h 45m,2 stops,No info,16865.0
1306,IndiGo,1/04/2019,Kolkata,Banglore,CCU → HYD → BLR,15:15,20:30,5h 15m,1 stop,No info,32833.0
1307,Air India,6/03/2019,Delhi,Cochin,DEL → BOM → COK,08:00,07:40 07 Mar,23h 40m,1 stop,No info,21031.0
1308,Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,19:15,8h 40m,1 stop,No info,16573.0
1309,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,19:50,13h 20m,1 stop,In-flight meal not included,22984.0
1310,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,01:30 04 Jun,15h 30m,1 stop,No info,9979.0
1311,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,09:20 22 May,24h 55m,1 stop,In-flight meal not included,15368.0
1312,Air India,9/06/2019,Kolkata,Banglore,CCU → BOM → GOI → BLR,16:50,05:35 10 Jun,12h 45m,2 stops,No info,35469.0
1313,Jet Airways,24/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,19:00,13h 30m,2 stops,In-flight meal not included,20261.0
1314,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,22:35,8h 30m,1 stop,In-flight meal not included,21935.0
1315,Vistara,15/06/2019,Banglore,Delhi,BLR → DEL,11:30,14:20,2h 50m,non-stop,No info,27430.0
1316,IndiGo,18/06/2019,Mumbai,Hyderabad,BOM → HYD,16:55,18:25,1h 30m,non-stop,No info,27518.0
1317,IndiGo,3/03/2019,Delhi,Cochin,DEL → BOM → COK,06:40,21:00,14h 20m,1 stop,No info,20745.0
1318,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,04:40 25 May,22h 10m,1 stop,No info,17638.0
1319,Air India,15/06/2019,Delhi,Cochin,DEL → BOM → COK,20:00,07:40 16 Jun,11h 40m,1 stop,No info,17085.0
1320,Air India,3/06/2019,Delhi,Cochin,DEL → MAA → COK,09:45,09:25 04 Jun,23h 40m,1 stop,No info,15635.0
1321,Vistara,12/05/2019,Banglore,Delhi,BLR → DEL,19:30,22:15,2h 45m,non-stop,No info,27352.0
1322,IndiGo,12/06/2019,Delhi,Cochin,DEL → HYD → COK,06:50,16:10,9h 20m,1 stop,No info,16710.0
1323,IndiGo,18/04/2019,Kolkata,Banglore,CCU → BLR,15:15,17:45,2h 30m,non-stop,No info,28172.0
1324,IndiGo,12/05/2019,Kolkata,Banglore,CCU → BLR,14:25,16:55,2h 30m,non-stop,No info,27463.0
1325,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,22:05 25 May,25h 40m,1 stop,No info,15107.0
1326,IndiGo,6/04/2019,Banglore,Delhi,BLR → DEL,21:15,00:15 07 Apr,3h,non-stop,No info,28172.0
1327,Multiple carriers,9/06/2019,Delhi,Cochin,DEL → BOM → COK,15:00,01:30 10 Jun,10h 30m,1 stop,No info,9945.0
1328,IndiGo,9/06/2019,Delhi,Cochin,DEL → HYD → COK,05:05,12:10,7h 5m,1 stop,No info,19473.0
1329,IndiGo,9/03/2019,Mumbai,Hyderabad,BOM → HYD,20:05,21:35,1h 30m,non-stop,No info,27092.0
1330,Vistara,1/05/2019,Banglore,Delhi,BLR → DEL,17:00,19:35,2h 35m,non-stop,No info,27543.0
1331,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,10:05 16 May,14h 5m,1 stop,No info,15593.0
1332,Air India,21/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:45,19:15 22 May,23h 30m,2 stops,No info,18329.0
1333,Jet Airways,3/04/2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1 stop,In-flight meal not included,16606.0
1334,IndiGo,9/03/2019,Delhi,Cochin,DEL → HYD → COK,08:35,22:20,13h 45m,1 stop,No info,20622.0
1335,Air India,12/05/2019,Kolkata,Banglore,CCU → BOM → GOI → BLR,16:50,05:35 13 May,12h 45m,2 stops,No info,35903.0
1336,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,23:35 13 May,28h 40m,1 stop,In-flight meal not included,16148.0
1337,Jet Airways,1/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,19:00,9h 20m,2 stops,No info,21302.0
1338,Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,19:50,11h 25m,1 stop,No info,17333.0
1339,Air India,12/03/2019,Banglore,New Delhi,BLR → CCU → GAU → DEL,05:50,22:10,16h 20m,2 stops,No info,13377.0
1340,IndiGo,9/03/2019,Delhi,Cochin,DEL → HYD → COK,16:10,22:20,6h 10m,1 stop,No info,21781.0
1341,Air India,3/06/2019,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 04 Jun,21h 15m,2 stops,No info,19843.0
1342,Jet Airways,9/06/2019,Delhi,Cochin,DEL → LKO → BOM → COK,09:25,12:35 10 Jun,27h 10m,2 stops,No info,19530.0
1343,Jet Airways,15/05/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,non-stop,No info,26039.0
1344,Air India,3/04/2019,Delhi,Cochin,DEL → MAA → COK,09:45,09:25 04 Apr,23h 40m,1 stop,No info,15343.0
1345,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,20:45 16 May,28h 15m,1 stop,In-flight meal not included,14989.0
1346,Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,15:05,04:25 07 Mar,13h 20m,1 stop,In-flight meal not included,17454.0
1347,Jet Airways,9/03/2019,Delhi,Cochin,DEL → BOM → COK,15:05,04:25 10 Mar,13h 20m,1 stop,No info,17309.0
1348,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,22:05,12h 30m,1 stop,No info,22973.0
1349,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,09:45 16 May,24h 10m,1 stop,No info,15714.0
1350,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:55,19:10 13 Mar,20h 15m,1 stop,In-flight meal not included,11354.0
1351,Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,20:50,04:25 07 Mar,7h 35m,1 stop,No info,17628.0
1352,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,11:40,19:00,7h 20m,1 stop,No info,19799.0
1353,Air India,24/05/2019,Banglore,Delhi,BLR → DEL,10:00,12:45,2h 45m,non-stop,No info,27429.0
1354,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,12:00 16 May,14h 50m,1 stop,In-flight meal not included,15377.0
1355,Air India,27/05/2019,Delhi,Cochin,DEL → LKO → BOM → COK,07:10,19:15,12h 5m,2 stops,No info,20156.0
1356,SpiceJet,12/06/2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,26871.0
1357,Air India,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:50,22:05,13h 15m,1 stop,No info,10107.0
1358,Jet Airways,24/04/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,In-flight meal not included,28090.0
1359,Air India,12/06/2019,Banglore,Delhi,BLR → DEL,17:00,19:45,2h 45m,non-stop,No info,27868.0
1360,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,22:35 16 May,25h 25m,1 stop,In-flight meal not included,15361.0
1361,IndiGo,21/06/2019,Banglore,Delhi,BLR → DEL,01:30,04:15,2h 45m,non-stop,No info,28093.0
1362,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,09:20 02 May,19h 15m,1 stop,No info,20835.0
1363,Jet Airways,24/06/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,No info,26539.0
1364,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,10:05 25 May,14h 5m,1 stop,No info,15377.0
1365,SpiceJet,01/03/2019,Banglore,New Delhi,BLR → DEL,05:45,08:35,2h 50m,non-stop,No info,4468.0
1366,IndiGo,3/05/2019,Mumbai,Hyderabad,BOM → HYD,12:00,13:30,1h 30m,non-stop,No info,26233.0
1367,Air India,9/03/2019,Delhi,Cochin,DEL → MAA → COK,09:45,09:25 10 Mar,23h 40m,1 stop,No info,19393.0
1368,Vistara,9/06/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,09:05 10 Jun,12h 45m,1 stop,No info,16461.0
1369,Jet Airways,24/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19:00 25 Jun,23h 50m,2 stops,No info,18011.0
1370,Air India,03/03/2019,Banglore,New Delhi,BLR → HYD → VGA → DEL,17:00,22:55 07 Mar,29h 55m,2 stops,No info,12492.0
1371,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,12:00 02 Apr,19h 30m,1 stop,In-flight meal not included,22085.0
1372,Jet Airways,1/05/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,In-flight meal not included,26371.0
1373,Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1 stop,No info,15945.0
1374,IndiGo,21/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,08:35,21:20,12h 45m,2 stops,No info,18874.0
1375,Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,07:30,19:00,11h 30m,1 stop,No info,16740.0
1376,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,10:05 13 Jun,25h 40m,1 stop,No info,17408.0
1377,IndiGo,6/03/2019,Delhi,Cochin,DEL → BOM → COK,11:30,01:35 07 Mar,14h 5m,1 stop,No info,14249.0
1378,Air India,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,09:25,11:10 10 Jun,25h 45m,1 stop,No info,16968.0
1379,Air India,15/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,05:00,19:15 16 Jun,38h 15m,2 stops,No info,20165.0
1380,Jet Airways,9/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,09:35,12:35 10 Jun,27h,2 stops,No info,19530.0
1381,Air India,24/03/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,07:00,13:45 25 Mar,30h 45m,2 stops,No info,16738.0
1382,Air Asia,12/04/2019,Kolkata,Banglore,CCU → BLR,10:20,12:55,2h 35m,non-stop,No info,27932.0
1383,IndiGo,1/05/2019,Kolkata,Banglore,CCU → MAA → BLR,17:35,22:15,4h 40m,1 stop,No info,31184.0
1384,Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,19:45,12:35 10 May,16h 50m,1 stop,In-flight meal not included,15494.0
1385,Jet Airways,27/06/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,In-flight meal not included,27920.0
1386,Air India,15/05/2019,Banglore,Delhi,BLR → DEL,17:00,19:45,2h 45m,non-stop,No info,27793.0
1387,Air India,9/06/2019,Delhi,Cochin,DEL → BLR → COK,13:30,23:00,9h 30m,1 stop,No info,15640.0
1388,SpiceJet,27/04/2019,Banglore,Delhi,BLR → DEL,21:10,00:05 28 Apr,2h 55m,non-stop,No check-in baggage included,27661.0
1389,Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,13:25,19:00 28 Jun,29h 35m,2 stops,No info,18052.0
1390,IndiGo,9/05/2019,Kolkata,Banglore,CCU → BLR,15:15,17:45,2h 30m,non-stop,No info,27805.0
1391,GoAir,9/05/2019,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,No info,27461.0
1392,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → HYD → COK,09:45,16:10,6h 25m,1 stop,No info,21290.0
1393,IndiGo,1/06/2019,Delhi,Cochin,DEL → BLR → COK,15:10,20:00,4h 50m,1 stop,No info,29646.0
1394,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,16:20 07 Jun,21h 25m,1 stop,No info,16590.0
1395,Jet Airways,6/05/2019,Banglore,Delhi,BLR → DEL,11:10,14:05,2h 55m,non-stop,No info,27632.0
1396,GoAir,21/03/2019,Delhi,Cochin,DEL → AMD → COK,06:00,13:20,7h 20m,1 stop,No info,21382.0
1397,IndiGo,6/06/2019,Delhi,Cochin,DEL → BOM → COK,04:55,21:00,16h 5m,1 stop,No info,16293.0
1398,IndiGo,3/06/2019,Mumbai,Hyderabad,BOM → HYD,16:55,18:25,1h 30m,non-stop,No info,27523.0
1399,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,04:40 02 Apr,8h 40m,1 stop,In-flight meal not included,27340.0
1400,Air Asia,15/04/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,15:10,23:30,8h 20m,2 stops,No info,18019.0
1401,SpiceJet,3/05/2019,Mumbai,Hyderabad,BOM → HYD,22:45,00:15 04 May,1h 30m,non-stop,No check-in baggage included,26420.0
1402,IndiGo,9/06/2019,Kolkata,Banglore,CCU → BLR,04:40,07:15,2h 35m,non-stop,No info,26815.0
1403,Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,18:25,9h 30m,1 stop,In-flight meal not included,11880.0
1404,Multiple carriers,9/04/2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1 stop,No info,16596.0
1405,Jet Airways,27/05/2019,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,In-flight meal not included,28599.0
1406,IndiGo,27/05/2019,Delhi,Cochin,DEL → COK,05:35,08:50,3h 15m,non-stop,No info,27905.0
1407,IndiGo,18/05/2019,Mumbai,Hyderabad,BOM → HYD,02:35,04:05,1h 30m,non-stop,No info,27417.0
1408,Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,19:00,6h,1 stop,No info,22566.0
